# armor-combos.txt
#
# Vagrant Story armor combination tables
#
# Lines beginning with "--" identify item types
#
# It is possible for a different combination to result from swapped items.
# For example usually A + B = C but sometimes B + A = D
#
# Taken from Combination Guide
# Author:  Jay Tilton
# Email:  tiltonj@erols.com
# Copyright Jay Tilton, 2000

--Helm + Helm
# First Slot       |Second Slot        |Result              |(if different)      
# ================= ===================  ==================== ====================
Bandana            |Bandana            | Bandana            |
Banded Mail        |Jambeau            | Chain Leggings     |
Banded Mail        |Missaglia          | Fusskampf          |
Banded Mail        |Plate Leggings     | Poleyn             |
Banded Mail        |Fluted Leggings    | Jambeau            |
Banded Mail        |Hoplite Leggings   | Missaglia          | Jambeau
Banded Mail        |Jazeraint Leggings | Plate Leggings     |
Banded Mail        |Dread Leggings     | Fluted Leggings    |
Ring Mail          |Sandals            | Banded Mail        |
Ring Mail          |Boots              | Banded Mail        |
Ring Mail          |Long Boots         | Banded Mail        |
Ring Mail          |Cuisse             | Banded Mail        |
Ring Mail          |Light Greave       | Ring Mail          |
Ring Mail          |Ring Leggings      | Chain Sleeve       |
Ring Mail          |Chain Leggings     | Light Greave       |
Ring Mail          |Fusskampf          | Light Greave       |
Ring Mail          |Poleyn             | Light Greave       |
Ring Mail          |Jambeau            | Ring Leggings      |
Ring Mail          |Missaglia          | Chain Leggings     |
Ring Mail          |Plate Leggings     | Fusskampf          |
Ring Mail          |Fluted Leggings    | Poleyn             | Fusskampf
Ring Mail          |Hoplite Leggings   | Jambeau            | Poleyn
Ring Mail          |Jazeraint Leggings | Missaglia          |
Ring Mail          |Dread Leggings     | Plate Leggings     |
Chain Mail         |Sandals            | Banded Mail        |
Chain Mail         |Boots              | Banded Mail        |
Chain Mail         |Long Boots         | Banded Mail        |
Chain Mail         |Cuisse             | Banded Mail        |
Chain Mail         |Light Greave       | Ring Mail          |
Chain Mail         |Ring Leggings      | Chain Mail         |
Chain Mail         |Chain Leggings     | Gauntlet           |
Chain Mail         |Fusskampf          | Ring Leggings      |
Chain Mail         |Poleyn             | Ring Leggings      |
Chain Mail         |Jambeau            | Ring Leggings      |
Chain Mail         |Missaglia          | Ring Leggings      |
Chain Mail         |Plate Leggings     | Chain Leggings     | Ring Leggings
Chain Mail         |Fluted Leggings    | Fusskampf          | Chain Leggings
Chain Mail         |Hoplite Leggings   | Poleyn             | Fusskampf
Chain Mail         |Jazeraint Leggings | Jambeau            |
Chain Mail         |Dread Leggings     | Missaglia          |
Breastplate        |Sandals            | Banded Mail        |
Breastplate        |Boots              | Banded Mail        |
Breastplate        |Long Boots         | Banded Mail        |
Breastplate        |Cuisse             | Banded Mail        |
Breastplate        |Light Greave       | Ring Mail          |
Breastplate        |Ring Leggings      | Chain Mail         |
Breastplate        |Chain Leggings     | Breastplate        |
Breastplate        |Fusskampf          | Vambrace           |
Breastplate        |Poleyn             | Chain Leggings     |
Breastplate        |Jambeau            | Chain Leggings     |
Breastplate        |Missaglia          | Chain Leggings     |
Breastplate        |Plate Leggings     | Chain Leggings     |
Breastplate        |Fluted Leggings    | Chain Leggings     |
Breastplate        |Hoplite Leggings   | Fusskampf          | Chain Leggings
Breastplate        |Jazeraint Leggings | Poleyn             |
Breastplate        |Dread Leggings     | Jambeau            |
Segmentata         |Sandals            | Ring Mail          |
Segmentata         |Boots              | Ring Mail          |
Segmentata         |Long Boots         | Ring Mail          |
Segmentata         |Cuisse             | Ring Mail          |
Segmentata         |Light Greave       | Ring Mail          |
Segmentata         |Ring Leggings      | Chain Mail         |
Segmentata         |Chain Leggings     | Breastplate        |
Segmentata         |Fusskampf          | Segmentata         |
Segmentata         |Poleyn             | Plate Glove        |
Segmentata         |Jambeau            | Fusskampf          |
Segmentata         |Missaglia          | Fusskampf          |
Segmentata         |Plate Leggings     | Fusskampf          |
Segmentata         |Fluted Leggings    | Fusskampf          |
Segmentata         |Hoplite Leggings   | Fusskampf          |
Segmentata         |Jazeraint Leggings | Fusskampf          |
Segmentata         |Dread Leggings     | Poleyn             |
Scale Armor        |Sandals            | Chain Mail         |
Scale Armor        |Boots              | Chain Mail         |
Scale Armor        |Long Boots         | Chain Mail         |
Scale Armor        |Cuisse             | Chain Mail         |
Scale Armor        |Light Greave       | Ring Mail          |
Scale Armor        |Ring Leggings      | Chain Mail         |
Scale Armor        |Chain Leggings     | Breastplate        |
Scale Armor        |Fusskampf          | Segmentata         |
Scale Armor        |Poleyn             | Scale Armor        |
Scale Armor        |Jambeau            | Rondanche          |
Scale Armor        |Missaglia          | Poleyn             |
Scale Armor        |Plate Leggings     | Poleyn             |
Scale Armor        |Fluted Leggings    | Poleyn             |
Scale Armor        |Hoplite Leggings   | Poleyn             |
Scale Armor        |Jazeraint Leggings | Poleyn             |
Scale Armor        |Dread Leggings     | Poleyn             |
Brigandine         |Sandals            | Breastplate        |
Brigandine         |Boots              | Breastplate        |
Brigandine         |Long Boots         | Breastplate        |
Brigandine         |Cuisse             | Breastplate        |
Brigandine         |Light Greave       | Chain Mail         |
Brigandine         |Ring Leggings      | Chain Mail         |
Brigandine         |Chain Leggings     | Breastplate        |
Brigandine         |Fusskampf          | Segmentata         |
Brigandine         |Poleyn             | Scale Armor        |
Brigandine         |Jambeau            | Brigandine         |
Brigandine         |Missaglia          | Tilt Glove         |
Brigandine         |Plate Leggings     | Jambeau            |
Brigandine         |Fluted Leggings    | Jambeau            |
Brigandine         |Hoplite Leggings   | Jambeau            |
Brigandine         |Jazeraint Leggings | Jambeau            |
Brigandine         |Dread Leggings     | Jambeau            |
Plate Mail         |Sandals            | Segmentata         |
Plate Mail         |Boots              | Segmentata         |
Plate Mail         |Long Boots         | Segmentata         |
Plate Mail         |Cuisse             | Segmentata         |
Plate Mail         |Light Greave       | Breastplate        |
Plate Mail         |Ring Leggings      | Chain Mail         |
Plate Mail         |Chain Leggings     | Breastplate        |
Plate Mail         |Fusskampf          | Segmentata         |
Plate Mail         |Poleyn             | Scale Armor        |
Plate Mail         |Jambeau            | Brigandine         |
Plate Mail         |Missaglia          | Plate Mail         |
Plate Mail         |Plate Leggings     | Freiturnier        |
Plate Mail         |Fluted Leggings    | Missaglia          |
Plate Mail         |Hoplite Leggings   | Missaglia          |
Plate Mail         |Jazeraint Leggings | Missaglia          |
Plate Mail         |Dread Leggings     | Missaglia          |
Fluted Armor       |Sandals            | Scale Armor        |
Fluted Armor       |Boots              | Scale Armor        |
Fluted Armor       |Long Boots         | Scale Armor        |
Fluted Armor       |Cuisse             | Scale Armor        |
Fluted Armor       |Light Greave       | Segmentata         |
Fluted Armor       |Ring Leggings      | Breastplate        |
Fluted Armor       |Chain Leggings     | Breastplate        |
Fluted Armor       |Fusskampf          | Segmentata         |
Fluted Armor       |Poleyn             | Scale Armor        |
Fluted Armor       |Jambeau            | Brigandine         |
Fluted Armor       |Missaglia          | Plate Mail         |
Fluted Armor       |Plate Leggings     | Fluted Armor       |
Fluted Armor       |Fluted Leggings    | Fluted Glove       |
Fluted Armor       |Hoplite Leggings   | Plate Leggings     |
Fluted Armor       |Jazeraint Leggings | Plate Leggings     |
Fluted Armor       |Dread Leggings     | Plate Leggings     |
Hoplite Armor      |Sandals            | Brigandine         |
Hoplite Armor      |Boots              | Brigandine         |
Hoplite Armor      |Long Boots         | Brigandine         |
Hoplite Armor      |Cuisse             | Brigandine         |
Hoplite Armor      |Light Greave       | Scale Armor        |
Hoplite Armor      |Ring Leggings      | Segmentata         |
Hoplite Armor      |Chain Leggings     | Breastplate        |
Hoplite Armor      |Fusskampf          | Segmentata         |
Hoplite Armor      |Poleyn             | Scale Armor        |
Hoplite Armor      |Jambeau            | Brigandine         |
Hoplite Armor      |Missaglia          | Plate Mail         |
Hoplite Armor      |Plate Leggings     | Fluted Armor       |
Hoplite Armor      |Fluted Leggings    | Hoplite Armor      |
Hoplite Armor      |Hoplite Leggings   | Hoplite Glove      |
Hoplite Armor      |Jazeraint Leggings | Fluted Leggings    |
Hoplite Armor      |Dread Leggings     | Fluted Leggings    |
Jazeraint Armor    |Sandals            | Plate Mail         |
Jazeraint Armor    |Boots              | Plate Mail         |
Jazeraint Armor    |Long Boots         | Plate Mail         |
Jazeraint Armor    |Cuisse             | Plate Mail         |
Jazeraint Armor    |Light Greave       | Brigandine         |
Jazeraint Armor    |Ring Leggings      | Scale Armor        |
Jazeraint Armor    |Chain Leggings     | Segmentata         |
Jazeraint Armor    |Fusskampf          | Segmentata         |
Jazeraint Armor    |Poleyn             | Scale Armor        |
Jazeraint Armor    |Jambeau            | Brigandine         |
Jazeraint Armor    |Missaglia          | Plate Mail         |
Jazeraint Armor    |Plate Leggings     | Fluted Armor       |
Jazeraint Armor    |Fluted Leggings    | Hoplite Armor      |
Jazeraint Armor    |Hoplite Leggings   | Jazeraint Armor    |
Jazeraint Armor    |Jazeraint Leggings | Jazeraint Glove    |
Jazeraint Armor    |Dread Leggings     | Hoplite Leggings   |
Dread Armor        |Sandals            | Fluted Armor       |
Dread Armor        |Boots              | Fluted Armor       |
Dread Armor        |Long Boots         | Fluted Armor       |
Dread Armor        |Cuisse             | Fluted Armor       |
Dread Armor        |Light Greave       | Plate Mail         |
Dread Armor        |Ring Leggings      | Brigandine         |
Dread Armor        |Chain Leggings     | Scale Armor        |
Dread Armor        |Fusskampf          | Segmentata         |
Dread Armor        |Poleyn             | Scale Armor        |
Dread Armor        |Jambeau            | Brigandine         |
Dread Armor        |Missaglia          | Plate Mail         |
Dread Armor        |Plate Leggings     | Fluted Armor       |
Dread Armor        |Fluted Leggings    | Hoplite Armor      |
Dread Armor        |Hoplite Leggings   | Jazeraint Armor    |
Dread Armor        |Jazeraint Leggings | Dread Armor        |
Dread Armor        |Dread Leggings     | Dread Glove        |

--Body + Arm
# First Slot       |Second Slot        |Result              |(if different)      
# ================= ===================  ==================== ====================
Jerkin             |Bandage            | Jerkin             |
Jerkin             |Leather Glove      | Leather Glove      |
Jerkin             |Reinforced Glove   | Reinforced Glove   |
Jerkin             |Knuckles           | Knuckles           |
Jerkin             |Ring Sleeve        | Knuckles           |
Jerkin             |Chain Sleeve       | Knuckles           |
Jerkin             |Gauntlet           | Knuckles           |
Jerkin             |Vambrace           | Ring Sleeve        |
Jerkin             |Plate Glove        | Chain Sleeve       |
Jerkin             |Rondanche          | Gauntlet           |
Jerkin             |Tilt Glove         | Vambrace           |
Jerkin             |Freiturnier        | Plate Glove        |
Jerkin             |Fluted Glove       | Rondanche          |
Jerkin             |Hoplite Glove      | Tilt Glove         |
Jerkin             |Jazeraint Glove    | Freiturnier        |
Jerkin             |Dread Glove        | Fluted Glove       |
Hauberk            |Bandage            | Hauberk            |
Hauberk            |Leather Glove      | Leather Glove      |
Hauberk            |Reinforced Glove   | Reinforced Glove   |
Hauberk            |Knuckles           | Knuckles           |
Hauberk            |Ring Sleeve        | Knuckles           |
Hauberk            |Chain Sleeve       | Knuckles           |
Hauberk            |Gauntlet           | Knuckles           |
Hauberk            |Vambrace           | Ring Sleeve        |
Hauberk            |Plate Glove        | Chain Sleeve       |
Hauberk            |Rondanche          | Gauntlet           |
Hauberk            |Tilt Glove         | Vambrace           |
Hauberk            |Freiturnier        | Plate Glove        |
Hauberk            |Fluted Glove       | Rondanche          |
Hauberk            |Hoplite Glove      | Tilt Glove         |
Hauberk            |Jazeraint Glove    | Freiturnier        |
Hauberk            |Dread Glove        | Fluted Glove       |
Wizard Robe        |Bandage            | Wizard Robe        |
Wizard Robe        |Leather Glove      | Wizard Robe        |
Wizard Robe        |Reinforced Glove   | Reinforced Glove   |
Wizard Robe        |Knuckles           | Knuckles           |
Wizard Robe        |Ring Sleeve        | Knuckles           |
Wizard Robe        |Chain Sleeve       | Knuckles           |
Wizard Robe        |Gauntlet           | Knuckles           |
Wizard Robe        |Vambrace           | Ring Sleeve        |
Wizard Robe        |Plate Glove        | Chain Sleeve       |
Wizard Robe        |Rondanche          | Gauntlet           |
Wizard Robe        |Tilt Glove         | Vambrace           |
Wizard Robe        |Freiturnier        | Plate Glove        |
Wizard Robe        |Fluted Glove       | Rondanche          |
Wizard Robe        |Hoplite Glove      | Tilt Glove         |
Wizard Robe        |Jazeraint Glove    | Freiturnier        |
Wizard Robe        |Dread Glove        | Fluted Glove       |
Cuirass            |Bandage            | Cuirass            |
Cuirass            |Leather Glove      | Cuirass            |
Cuirass            |Reinforced Glove   | Cuirass            |
Cuirass            |Knuckles           | Bone Helm          |
Cuirass            |Ring Sleeve        | Knuckles           |
Cuirass            |Chain Sleeve       | Knuckles           |
Cuirass            |Gauntlet           | Knuckles           |
Cuirass            |Vambrace           | Ring Sleeve        |
Cuirass            |Plate Glove        | Chain Sleeve       |
Cuirass            |Rondanche          | Gauntlet           |
Cuirass            |Tilt Glove         | Vambrace           |
Cuirass            |Freiturnier        | Plate Glove        |
Cuirass            |Fluted Glove       | Rondanche          |
Cuirass            |Hoplite Glove      | Tilt Glove         |
Cuirass            |Jazeraint Glove    | Freiturnier        |
Cuirass            |Dread Glove        | Fluted Glove       |
Banded Mail        |Bandage            | Banded Mail        |
Banded Mail        |Leather Glove      | Banded Mail        |
Banded Mail        |Reinforced Glove   | Banded Mail        |
Banded Mail        |Knuckles           | Banded Mail        |
Banded Mail        |Ring Sleeve        | Chain Coif         |
Banded Mail        |Chain Sleeve       | Knuckles           |
Banded Mail        |Gauntlet           | Knuckles           |
Banded Mail        |Vambrace           | Ring Sleeve        |
Banded Mail        |Plate Glove        | Chain Sleeve       |
Banded Mail        |Rondanche          | Gauntlet           |
Banded Mail        |Tilt Glove         | Vambrace           |
Banded Mail        |Freiturnier        | Plate Glove        |
Banded Mail        |Fluted Glove       | Rondanche          |
Banded Mail        |Hoplite Glove      | Tilt Glove         |
Banded Mail        |Jazeraint Glove    | Freiturnier        |
Banded Mail        |Dread Glove        | Fluted Glove       |
Ring Mail          |Bandage            | Banded Mail        |
Ring Mail          |Leather Glove      | Banded Mail        |
Ring Mail          |Reinforced Glove   | Banded Mail        |
Ring Mail          |Knuckles           | Banded Mail        |
Ring Mail          |Ring Sleeve        | Ring Mail          |
Ring Mail          |Chain Sleeve       | Spangenhelm        |
Ring Mail          |Gauntlet           | Ring Sleeve        |
Ring Mail          |Vambrace           | Ring Sleeve        |
Ring Mail          |Plate Glove        | Ring Sleeve        |
Ring Mail          |Rondanche          | Chain Sleeve       |
Ring Mail          |Tilt Glove         | Gauntlet           |
Ring Mail          |Freiturnier        | Vambrace           |
Ring Mail          |Fluted Glove       | Plate Glove        |
Ring Mail          |Hoplite Glove      | Rondanche          |
Ring Mail          |Jazeraint Glove    | Tilt Glove         |
Ring Mail          |Dread Glove        | Freiturnier        |
Chain Mail         |Bandage            | Banded Mail        |
Chain Mail         |Leather Glove      | Banded Mail        |
Chain Mail         |Reinforced Glove   | Banded Mail        |
Chain Mail         |Knuckles           | Banded Mail        |
Chain Mail         |Ring Sleeve        | Ring Mail          |
Chain Mail         |Chain Sleeve       | Chain Mail         |
Chain Mail         |Gauntlet           | Cabasset           |
Chain Mail         |Vambrace           | Chain Sleeve       |
Chain Mail         |Plate Glove        | Chain Sleeve       |
Chain Mail         |Rondanche          | Chain Sleeve       |
Chain Mail         |Tilt Glove         | Chain Sleeve       |
Chain Mail         |Freiturnier        | Gauntlet           |
Chain Mail         |Fluted Glove       | Vambrace           |
Chain Mail         |Hoplite Glove      | Plate Glove        |
Chain Mail         |Jazeraint Glove    | Rondanche          |
Chain Mail         |Dread Glove        | Tilt Glove         |
Breastplate        |Bandage            | Banded Mail        |
Breastplate        |Leather Glove      | Banded Mail        |
Breastplate        |Reinforced Glove   | Banded Mail        |
Breastplate        |Knuckles           | Banded Mail        |
Breastplate        |Ring Sleeve        | Ring Mail          |
Breastplate        |Chain Sleeve       | Chain Mail         |
Breastplate        |Gauntlet           | Breastplate        |
Breastplate        |Vambrace           | Sallet             |
Breastplate        |Plate Glove        | Gauntlet           |
Breastplate        |Rondanche          | Gauntlet           |
Breastplate        |Tilt Glove         | Gauntlet           |
Breastplate        |Freiturnier        | Gauntlet           |
Breastplate        |Fluted Glove       | Gauntlet           |
Breastplate        |Hoplite Glove      | Vambrace           |
Breastplate        |Jazeraint Glove    | Plate Glove        |
Breastplate        |Dread Glove        | Rondanche          |
Segmentata         |Bandage            | Ring Mail          |
Segmentata         |Leather Glove      | Ring Mail          |
Segmentata         |Reinforced Glove   | Ring Mail          |
Segmentata         |Knuckles           | Ring Mail          |
Segmentata         |Ring Sleeve        | Ring Mail          |
Segmentata         |Chain Sleeve       | Chain Mail         |
Segmentata         |Gauntlet           | Breastplate        |
Segmentata         |Vambrace           | Segmentata         |
Segmentata         |Plate Glove        | Barbut             |
Segmentata         |Rondanche          | Vambrace           |
Segmentata         |Tilt Glove         | Vambrace           |
Segmentata         |Freiturnier        | Vambrace           |
Segmentata         |Fluted Glove       | Vambrace           |
Segmentata         |Hoplite Glove      | Vambrace           |
Segmentata         |Jazeraint Glove    | Vambrace           |
Segmentata         |Dread Glove        | Plate Glove        |
Scale Armor        |Bandage            | Chain Mail         |
Scale Armor        |Leather Glove      | Chain Mail         |
Scale Armor        |Reinforced Glove   | Chain Mail         |
Scale Armor        |Knuckles           | Chain Mail         |
Scale Armor        |Ring Sleeve        | Ring Mail          |
Scale Armor        |Chain Sleeve       | Chain Mail         |
Scale Armor        |Gauntlet           | Breastplate        |
Scale Armor        |Vambrace           | Segmentata         |
Scale Armor        |Plate Glove        | Scale Armor        |
Scale Armor        |Rondanche          | Basinet            |
Scale Armor        |Tilt Glove         | Plate Glove        |
Scale Armor        |Freiturnier        | Plate Glove        |
Scale Armor        |Fluted Glove       | Plate Glove        |
Scale Armor        |Hoplite Glove      | Plate Glove        |
Scale Armor        |Jazeraint Glove    | Plate Glove        |
Scale Armor        |Dread Glove        | Plate Glove        |
Brigandine         |Bandage            | Breastplate        |
Brigandine         |Leather Glove      | Breastplate        |
Brigandine         |Reinforced Glove   | Breastplate        |
Brigandine         |Knuckles           | Breastplate        |
Brigandine         |Ring Sleeve        | Chain Mail         |
Brigandine         |Chain Sleeve       | Chain Mail         |
Brigandine         |Gauntlet           | Breastplate        |
Brigandine         |Vambrace           | Segmentata         |
Brigandine         |Plate Glove        | Scale Armor        |
Brigandine         |Rondanche          | Brigandine         |
Brigandine         |Tilt Glove         | Armet              |
Brigandine         |Freiturnier        | Rondanche          |
Brigandine         |Fluted Glove       | Rondanche          |
Brigandine         |Hoplite Glove      | Rondanche          |
Brigandine         |Jazeraint Glove    | Rondanche          |
Brigandine         |Dread Glove        | Rondanche          |
Plate Mail         |Bandage            | Segmentata         |
Plate Mail         |Leather Glove      | Segmentata         |
Plate Mail         |Reinforced Glove   | Segmentata         |
Plate Mail         |Knuckles           | Segmentata         |
Plate Mail         |Ring Sleeve        | Breastplate        |
Plate Mail         |Chain Sleeve       | Chain Mail         |
Plate Mail         |Gauntlet           | Breastplate        |
Plate Mail         |Vambrace           | Segmentata         |
Plate Mail         |Plate Glove        | Scale Armor        |
Plate Mail         |Rondanche          | Brigandine         |
Plate Mail         |Tilt Glove         | Plate Mail         |
Plate Mail         |Freiturnier        | Close Helm         |
Plate Mail         |Fluted Glove       | Tilt Glove         |
Plate Mail         |Hoplite Glove      | Tilt Glove         |
Plate Mail         |Jazeraint Glove    | Tilt Glove         |
Plate Mail         |Dread Glove        | Tilt Glove         |
Fluted Armor       |Bandage            | Scale Armor        |
Fluted Armor       |Leather Glove      | Scale Armor        |
Fluted Armor       |Reinforced Glove   | Scale Armor        |
Fluted Armor       |Knuckles           | Scale Armor        |
Fluted Armor       |Ring Sleeve        | Segmentata         |
Fluted Armor       |Chain Sleeve       | Breastplate        |
Fluted Armor       |Gauntlet           | Breastplate        |
Fluted Armor       |Vambrace           | Segmentata         |
Fluted Armor       |Plate Glove        | Scale Armor        |
Fluted Armor       |Rondanche          | Brigandine         |
Fluted Armor       |Tilt Glove         | Plate Mail         |
Fluted Armor       |Freiturnier        | Fluted Armor       |
Fluted Armor       |Fluted Glove       | Burgonet           |
Fluted Armor       |Hoplite Glove      | Freiturnier        |
Fluted Armor       |Jazeraint Glove    | Freiturnier        |
Fluted Armor       |Dread Glove        | Freiturnier        |
Hoplite Armor      |Bandage            | Brigandine         |
Hoplite Armor      |Leather Glove      | Brigandine         |
Hoplite Armor      |Reinforced Glove   | Brigandine         |
Hoplite Armor      |Knuckles           | Brigandine         |
Hoplite Armor      |Ring Sleeve        | Scale Armor        |
Hoplite Armor      |Chain Sleeve       | Segmentata         |
Hoplite Armor      |Gauntlet           | Breastplate        |
Hoplite Armor      |Vambrace           | Segmentata         |
Hoplite Armor      |Plate Glove        | Scale Armor        |
Hoplite Armor      |Rondanche          | Brigandine         |
Hoplite Armor      |Tilt Glove         | Plate Mail         |
Hoplite Armor      |Freiturnier        | Fluted Armor       |
Hoplite Armor      |Fluted Glove       | Hoplite Armor      |
Hoplite Armor      |Hoplite Glove      | Hoplite Helm       |
Hoplite Armor      |Jazeraint Glove    | Fluted Glove       |
Hoplite Armor      |Dread Glove        | Fluted Glove       |
Jazeraint Armor    |Bandage            | Plate Mail         |
Jazeraint Armor    |Leather Glove      | Plate Mail         |
Jazeraint Armor    |Reinforced Glove   | Plate Mail         |
Jazeraint Armor    |Knuckles           | Plate Mail         |
Jazeraint Armor    |Ring Sleeve        | Brigandine         |
Jazeraint Armor    |Chain Sleeve       | Scale Armor        |
Jazeraint Armor    |Gauntlet           | Segmentata         |
Jazeraint Armor    |Vambrace           | Segmentata         |
Jazeraint Armor    |Plate Glove        | Scale Armor        |
Jazeraint Armor    |Rondanche          | Brigandine         |
Jazeraint Armor    |Tilt Glove         | Plate Mail         |
Jazeraint Armor    |Freiturnier        | Fluted Armor       |
Jazeraint Armor    |Fluted Glove       | Hoplite Armor      |
Jazeraint Armor    |Hoplite Glove      | Jazeraint Armor    |
Jazeraint Armor    |Jazeraint Glove    | Jazeraint Helm     |
Jazeraint Armor    |Dread Glove        | Hoplite Glove      |
Dread Armor        |Bandage            | Fluted Armor       |
Dread Armor        |Leather Glove      | Fluted Armor       |
Dread Armor        |Reinforced Glove   | Fluted Armor       |
Dread Armor        |Knuckles           | Fluted Armor       |
Dread Armor        |Ring Sleeve        | Plate Mail         |
Dread Armor        |Chain Sleeve       | Brigandine         |
Dread Armor        |Gauntlet           | Scale Armor        |
Dread Armor        |Vambrace           | Segmentata         |
Dread Armor        |Plate Glove        | Scale Armor        |
Dread Armor        |Rondanche          | Brigandine         |
Dread Armor        |Tilt Glove         | Plate Mail         |
Dread Armor        |Freiturnier        | Fluted Armor       |
Dread Armor        |Fluted Glove       | Hoplite Armor      |
Dread Armor        |Hoplite Glove      | Jazeraint Armor    |
Dread Armor        |Jazeraint Glove    | Dread Armor        |
Dread Armor        |Dread Glove        | Dread Helm         |

--Leg + Leg
# First Slot       |Second Slot        |Result              |(if different)      
# ================= ===================  ==================== ====================
Sandals            |Sandals            | Sandals            |
Sandals            |Boots              | Boots              |
Sandals            |Long Boots         | Long Boots         |
Sandals            |Cuisse             | Cuisse             |
Sandals            |Light Greave       |+Ring Leggings      |
Sandals            |Ring Leggings      | Cuisse             |
Sandals            |Chain Leggings     | Light Greave       |
Sandals            |Fusskampf          | Light Greave       |
Sandals            |Poleyn             | Ring Leggings      |
Sandals            |Jambeau            | Chain Leggings     |
Sandals            |Missaglia          | Fusskampf          |
Sandals            |Plate Leggings     | Poleyn             |
Sandals            |Fluted Leggings    | Jambeau            |
Sandals            |Hoplite Leggings   | Missaglia          |
Sandals            |Jazeraint Leggings | Plate Leggings     |
Sandals            |Dread Leggings     | Fluted Leggings    |
Boots              |Boots              | Boots              |
Boots              |Long Boots         | Long Boots         |
Boots              |Cuisse             | Cuisse             |
Boots              |Light Greave       | Cuisse             |
Boots              |Ring Leggings      |+Chain Leggings     |
Boots              |Chain Leggings     | Cuisse             |
Boots              |Fusskampf          | Ring Leggings      |
Boots              |Poleyn             | Light Greave       |
Boots              |Jambeau            | Ring Leggings      |
Boots              |Missaglia          | Chain Leggings     |
Boots              |Plate Leggings     | Fusskampf          |
Boots              |Fluted Leggings    | Poleyn             |
Boots              |Hoplite Leggings   | Jambeau            |
Boots              |Jazeraint Leggings | Missaglia          |
Boots              |Dread Leggings     | Plate Leggings     |
Long Boots         |Long Boots         | Long Boots         |
Long Boots         |Cuisse             |+Light Greave       |
Long Boots         |Light Greave       | Light Greave       |
Long Boots         |Ring Leggings      | Cuisse             |
Long Boots         |Chain Leggings     | Ring Leggings      |
Long Boots         |Fusskampf          | Light Greave       |
Long Boots         |Poleyn             | Fusskampf          |
Long Boots         |Jambeau            | Light Greave       |
Long Boots         |Missaglia          | Ring Leggings      |
Long Boots         |Plate Leggings     | Chain Leggings     |
Long Boots         |Fluted Leggings    | Fusskampf          |
Long Boots         |Hoplite Leggings   | Poleyn             |
Long Boots         |Jazeraint Leggings | Jambeau            |
Long Boots         |Dread Leggings     | Missaglia          |
Cuisse             |Cuisse             | Cuisse             |
Cuisse             |Light Greave       |+Ring Leggings      |
Cuisse             |Ring Leggings      | Ring Leggings      |
Cuisse             |Chain Leggings     | Cuisse             |
Cuisse             |Fusskampf          | Chain Leggings     |
Cuisse             |Poleyn             | Cuisse             |
Cuisse             |Jambeau            | Poleyn             |
Cuisse             |Missaglia          | Light Greave       |
Cuisse             |Plate Leggings     | Ring Leggings      |
Cuisse             |Fluted Leggings    | Chain Leggings     |
Cuisse             |Hoplite Leggings   | Fusskampf          |
Cuisse             |Jazeraint Leggings | Poleyn             |
Cuisse             |Dread Leggings     | Jambeau            |
Light Greave       |Light Greave       | Light Greave       |
Light Greave       |Ring Leggings      |+Chain Leggings     |
Light Greave       |Chain Leggings     |+Fusskampf          |
Light Greave       |Fusskampf          |+Poleyn             |
Light Greave       |Poleyn             | Fusskampf          |
Light Greave       |Jambeau            | Chain Leggings     |
Light Greave       |Missaglia          | Poleyn             |
Light Greave       |Plate Leggings     | Light Greave       |
Light Greave       |Fluted Leggings    | Ring Leggings      |
Light Greave       |Hoplite Leggings   | Chain Leggings     |
Light Greave       |Jazeraint Leggings | Fusskampf          |
Light Greave       |Dread Leggings     | Poleyn             |
Ring Leggings      |Ring Leggings      | Ring Leggings      |
Ring Leggings      |Chain Leggings     |+Fusskampf          |
Ring Leggings      |Fusskampf          | Chain Leggings     |
Ring Leggings      |Poleyn             | Poleyn             |
Ring Leggings      |Jambeau            | Poleyn             |
Ring Leggings      |Missaglia          | Fusskampf          |
Ring Leggings      |Plate Leggings     |-Cuisse             |
Ring Leggings      |Fluted Leggings    |-Light Greave       |
Ring Leggings      |Hoplite Leggings   | Ring Leggings      |
Ring Leggings      |Jazeraint Leggings | Chain Leggings     |
Ring Leggings      |Dread Leggings     | Fusskampf          |
Chain Leggings     |Chain Leggings     |+Poleyn             |
Chain Leggings     |Fusskampf          |+Poleyn             |
Chain Leggings     |Poleyn             |+Jambeau            |
Chain Leggings     |Jambeau            |+Missaglia          |
Chain Leggings     |Missaglia          | Poleyn             |
Chain Leggings     |Plate Leggings     | Missaglia          |
Chain Leggings     |Fluted Leggings    | Missaglia          |
Chain Leggings     |Hoplite Leggings   |-Light Greave       |
Chain Leggings     |Jazeraint Leggings |-Ring Leggings      |
Chain Leggings     |Dread Leggings     | Chain Leggings     |
Fusskampf          |Fusskampf          | Fusskampf          |
Fusskampf          |Poleyn             |+Jambeau            |
Fusskampf          |Jambeau            |-Cuisse             |
Fusskampf          |Missaglia          | Jambeau            |
Fusskampf          |Plate Leggings     | Jambeau            |
Fusskampf          |Fluted Leggings    |-Light Greave       |
Fusskampf          |Hoplite Leggings   | Plate Leggings     |
Fusskampf          |Jazeraint Leggings |-Light Greave       |
Fusskampf          |Dread Leggings     |-Ring Leggings      |
Poleyn             |Poleyn             | Poleyn             |
